topic,tfidfscore
cheese,0.05137902384653801
something,-0.016238742558228398
egg,0.029634323296577163
fish,0.03758731866143647
apps,0.04292664342509201
touch,0.019780924332192012
way,0.003516751554831029
stars,0.018448751739570016
menu,0.024210882579636883
mina_restaurants,0.05168354567434253
nothing,-0.0153870586530074
chips,0.021810558693992756
experience,-0.04337828722851428
time,-0.008112764049328718
presentation,0.03088218431087548
oysters,0.03198571857135508
staff,-0.014948338557440204
service,-0.21723680239377924
ocean_trout,0.05168354567434253
-,0.027279514871835216
reviews,0.008255400123061571
place,-0.09537073812400249
atmosphere,-3.176477991559599e-05
taste,0.01000182908595104
ambiance,0.017292962211348132
dish,0.014459429076171424
flavor,0.0033855626056076174
server,0.004613685048528602
drinks,0.008045639980539483
hour_pricing,0.05713796585992097
dishes,0.011982819908417956
appetizers,0.02126776071607644
everything,-0.008966524992896789
dessert,0.020101205157455768
bread,0.014769636443124916
rib_sandwich,0.07189175428004643
food,-0.10965922546690854
cocktails,0.027890954420206695
meal,0.00585231752952922
texture,0.031338489680461934
portions,0.006771125211215235
hour,0.10371193601152574
restaurant,0.01853965236444698
waiter,0.013287412051057958
amount,0.011565344759643392
value,0.011718149355788786
dinner,0.022930198089705624
places,0.009151478713462096
hour_menu,0.06066008383690494
prime_rib,0.02457523674849096
sides,0.02742117847040419
drink,0.01544109215543774
seafood,0.02995916268563849
